"часть_речи","помета","М_абс","М_%","Т_абс","Т_%"
"существительное","s",1431979,28.9,26414642,30.6
"глагол","v",826995,16.7,13598107,15.8
"предлог","pr",515112,10.4,9392519,10.9
"прилагательное","a",426549,8.6,8063726,9.3
"союз","conj",383623,7.7,6572652,7.6
"местоимение-существительное","spro",388792,7.9,5858781,6.8
"наречие, предикатив, вводное слово","adv, praedic, parenth",253234,5.1,4311392,5
"местоимение-прилагательное","apro",223267,4.5,3902736,4.5
"частица","part",229557,4.6,3307339,3.8
"местоименное наречие, местоимение-предикатив","advpro, praedicpro",112111,2.3,1676364,1.9
"числительное","num",97193,2,1723920,2
"числительное-прилагательное","anum",20261,0.4,305079,0.4
"инициал","init",10682,0.2,237951,0.3
"междометие","intj",6466,0.1,75989,0.1
"прочее","nonlex, com",26248,0.5,787048,0.9
"не распознано",NA,NA,NA,45474,0.1
"Знаков препинания и других неорфографических элементов",NA,1297742,NA,22099994,NA
